timestamp,machine_id,temperature_c,vibration_mm_s,pressure_bar,rpm,fault_flag,fault_type
2024-01-01 00:00:00,CNC_Mill_01,64.79,0.84,4.297,1480.0,0,none
2024-01-01 00:00:00,Hydraulic_Press_02,77.65,1.181,8.737,1465.0,0,none
2024-01-01 00:00:00,Conveyor_Motor_03,45.81,0.462,2.03,1441.0,0,none
2024-01-01 01:00:00,CNC_Mill_01,62.13,0.819,3.941,1439.0,0,none
2024-01-01 01:00:00,Hydraulic_Press_02,78.47,1.119,8.364,1422.0,0,none
2024-01-01 01:00:00,Conveyor_Motor_03,44.66,0.617,2.11,1422.0,0,none
2024-01-01 02:00:00,CNC_Mill_01,65.17,0.756,4.027,1458.0,0,none
2024-01-01 02:00:00,Hydraulic_Press_02,77.56,1.152,8.41,1487.0,0,none
2024-01-01 02:00:00,Conveyor_Motor_03,43.41,0.499,2.223,1426.0,0,none
2024-01-01 03:00:00,CNC_Mill_01,62.06,0.817,4.001,1454.0,0,none
2024-01-01 03:00:00,Hydraulic_Press_02,78.26,1.259,8.483,1444.0,0,none
2024-01-01 03:00:00,Conveyor_Motor_03,43.92,0.382,2.031,1471.0,0,none
2024-01-01 04:00:00,CNC_Mill_01,62.36,0.827,4.249,1442.0,0,none
2024-01-01 04:00:00,Hydraulic_Press_02,78.92,1.146,8.655,1469.0,0,none
2024-01-01 04:00:00,Conveyor_Motor_03,44.54,0.433,2.15,1470.0,0,none
2024-01-01 05:00:00,CNC_Mill_01,64.72,0.762,4.034,1426.0,0,none
2024-01-01 05:00:00,Hydraulic_Press_02,80.03,1.265,8.489,1470.0,0,none
2024-01-01 05:00:00,Conveyor_Motor_03,44.03,0.529,2.154,1481.0,0,none
2024-01-01 06:00:00,CNC_Mill_01,67.35,0.797,3.807,1466.0,0,none
2024-01-01 06:00:00,Hydraulic_Press_02,77.55,1.207,8.514,1410.0,0,none
2024-01-01 06:00:00,Conveyor_Motor_03,45.54,0.482,2.322,1440.0,0,none
2024-01-01 07:00:00,CNC_Mill_01,64.25,0.735,4.337,1457.0,0,none
2024-01-01 07:00:00,Hydraulic_Press_02,78.77,1.158,8.515,1469.0,0,none
2024-01-01 07:00:00,Conveyor_Motor_03,44.51,0.444,2.041,1421.0,0,none
2024-01-01 08:00:00,CNC_Mill_01,65.39,0.824,4.201,1445.0,0,none
2024-01-01 08:00:00,Hydraulic_Press_02,77.37,1.087,8.449,1434.0,0,none
2024-01-01 08:00:00,Conveyor_Motor_03,45.61,0.487,2.383,1453.0,0,none
2024-01-01 09:00:00,CNC_Mill_01,64.89,0.821,3.912,1449.0,0,none
2024-01-01 09:00:00,Hydraulic_Press_02,81.69,1.205,8.471,1456.0,0,none
2024-01-01 09:00:00,Conveyor_Motor_03,43.25,0.497,2.271,1465.0,0,none
2024-01-01 10:00:00,CNC_Mill_01,63.64,0.863,4.41,1422.0,0,none
2024-01-01 10:00:00,Hydraulic_Press_02,81.29,1.247,8.351,1439.0,0,none
2024-01-01 10:00:00,Conveyor_Motor_03,44.24,0.508,1.867,1451.0,0,none
2024-01-01 11:00:00,CNC_Mill_01,65.71,0.715,4.062,1481.0,0,none
2024-01-01 11:00:00,Hydraulic_Press_02,77.52,1.137,8.622,1425.0,0,none
2024-01-01 11:00:00,Conveyor_Motor_03,46.96,0.518,1.859,1454.0,0,none
2024-01-01 12:00:00,CNC_Mill_01,66.17,0.821,4.014,1424.0,0,none
2024-01-01 12:00:00,Hydraulic_Press_02,78.45,1.242,8.538,1457.0,0,none
2024-01-01 12:00:00,Conveyor_Motor_03,45.35,0.446,2.144,1436.0,0,none
2024-01-01 13:00:00,CNC_Mill_01,65.71,0.949,4.021,1463.0,0,none
2024-01-01 13:00:00,Hydraulic_Press_02,79.18,1.122,8.674,1434.0,0,none
2024-01-01 13:00:00,Conveyor_Motor_03,45.62,0.577,2.223,1488.0,0,none
2024-01-01 14:00:00,CNC_Mill_01,63.87,0.78,4.067,1434.0,0,none
2024-01-01 14:00:00,Hydraulic_Press_02,78.51,1.194,8.542,1467.0,0,none
2024-01-01 14:00:00,Conveyor_Motor_03,47.18,0.501,2.06,1504.0,0,none
2024-01-01 15:00:00,CNC_Mill_01,63.71,0.85,4.039,1460.0,0,none
2024-01-01 15:00:00,Hydraulic_Press_02,79.07,1.182,8.571,1449.0,0,none
2024-01-01 15:00:00,Conveyor_Motor_03,42.73,0.432,2.033,1467.0,0,none
2024-01-01 16:00:00,CNC_Mill_01,63.13,0.817,4.226,1458.0,0,none
